exposure_component	exposure_category	chip_type	chip_status	outcome	incidence_rate_100py	ci_95	p_value_rate	pval_interaction
PA_score	High	DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.300124759362475	(0.26 - 0.34)	5.43472210425371e-323	0.800595034227626
PA_score	Low	TET2	Carrier	Coronary_Artery_Disease_Death	0.256135033430167	(0.14 - 0.42)	1.48219693752374e-323	0.00528715777181538
PA_score	Low	TET2	Non-carrier	Coronary_Artery_Disease_Death	0.35319756963347	(0.34 - 0.37)	1.38338380835549e-322	0.00528715777181538
PA_score	Intermediate	TET2	Carrier	Coronary_Artery_Disease_Death	0.650977202877479	(0.18 - 1.67)	4.94065645841247e-324	0.00528715777181538
PA_score	Intermediate	TET2	Non-carrier	Coronary_Artery_Disease_Death	0.321987831063036	(0.27 - 0.38)	4.44659081257122e-323	0.00528715777181538
PA_score	High	TET2	Carrier	Coronary_Artery_Disease_Death	0.670871881855371	(0.25 - 1.46)	4.94065645841247e-324	0.00528715777181538
PA_score	High	TET2	Non-carrier	Coronary_Artery_Disease_Death	0.301874394778745	(0.26 - 0.35)	5.43472210425371e-323	0.00528715777181538
PA_score	Low	non_DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.560973147668115	(0.44 - 0.70)	2.47032822920623e-323	0.0784763682845431
PA_score	Low	non_DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.345172344831935	(0.33 - 0.36)	1.33397724377137e-322	0.0784763682845431
PA_score	Intermediate	non_DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.671238104028003	(0.32 - 1.23)	9.88131291682493e-324	0.0784763682845431
PA_score	Intermediate	non_DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.315256232585417	(0.27 - 0.37)	4.44659081257122e-323	0.0784763682845431
PA_score	High	non_DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.719299238722175	(0.42 - 1.15)	9.88131291682493e-324	0.0784763682845431
PA_score	High	non_DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.292462123987705	(0.25 - 0.34)	5.43472210425371e-323	0.0784763682845431
bmi_points	Low	ASXL1	Carrier	Coronary_Artery_Disease_Death	1.28306833392347	(0.68 - 2.19)	4.94065645841247e-324	0.159953609245915
bmi_points	Low	ASXL1	Non-carrier	Coronary_Artery_Disease_Death	0.531224835754296	(0.49 - 0.57)	7.4109846876187e-323	0.159953609245915
bmi_points	Intermediate	ASXL1	Carrier	Coronary_Artery_Disease_Death	0.938799988048121	(0.53 - 1.55)	9.88131291682493e-324	0.159953609245915
bmi_points	Intermediate	ASXL1	Non-carrier	Coronary_Artery_Disease_Death	0.335592266131899	(0.31 - 0.36)	1.03753785626662e-322	0.159953609245915
bmi_points	High	ASXL1	Carrier	Coronary_Artery_Disease_Death	0.324082093103342	(0.07 - 0.95)	4.94065645841247e-324	0.159953609245915
bmi_points	High	ASXL1	Non-carrier	Coronary_Artery_Disease_Death	0.205813797057247	(0.19 - 0.23)	8.89318162514244e-323	0.159953609245915
bmi_points	Low	CHIP	Carrier	Coronary_Artery_Disease_Death	0.763045812175019	(0.60 - 0.96)	1.97626258336499e-323	0.769132365726119
bmi_points	Low	CHIP	Non-carrier	Coronary_Artery_Disease_Death	0.520204937509109	(0.48 - 0.56)	7.4109846876187e-323	0.769132365726119
bmi_points	Intermediate	CHIP	Carrier	Coronary_Artery_Disease_Death	0.499597459508778	(0.40 - 0.62)	2.96439387504748e-323	0.769132365726119
bmi_points	Intermediate	CHIP	Non-carrier	Coronary_Artery_Disease_Death	0.327883784485901	(0.30 - 0.35)	9.88131291682493e-323	0.769132365726119
bmi_points	High	CHIP	Carrier	Coronary_Artery_Disease_Death	0.284275880989591	(0.20 - 0.40)	2.47032822920623e-323	0.769132365726119
bmi_points	High	CHIP	Non-carrier	Coronary_Artery_Disease_Death	0.201065314457787	(0.18 - 0.22)	8.39911597930119e-323	0.769132365726119
bmi_points	Low	DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.625552341323835	(0.43 - 0.89)	1.48219693752374e-323	0.926764388953103
bmi_points	Low	DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.533423629465848	(0.50 - 0.57)	7.4109846876187e-323	0.926764388953103
bmi_points	Intermediate	DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.495810115150549	(0.36 - 0.66)	1.97626258336499e-323	0.926764388953103
bmi_points	Intermediate	DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.333375427680623	(0.31 - 0.36)	9.88131291682493e-323	0.926764388953103
bmi_points	High	DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.200755000661835	(0.11 - 0.34)	1.97626258336499e-323	0.926764388953103
bmi_points	High	DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.206619995649202	(0.19 - 0.23)	8.89318162514244e-323	0.926764388953103
bmi_points	Low	TET2	Carrier	Coronary_Artery_Disease_Death	0.530344334810674	(0.25 - 0.98)	9.88131291682493e-324	0.87240329244023
bmi_points	Low	TET2	Non-carrier	Coronary_Artery_Disease_Death	0.536800441292735	(0.50 - 0.58)	7.90505033345994e-323	0.87240329244023
bmi_points	Intermediate	TET2	Carrier	Coronary_Artery_Disease_Death	0.277049705378798	(0.13 - 0.53)	9.88131291682493e-324	0.87240329244023
bmi_points	Intermediate	TET2	Non-carrier	Coronary_Artery_Disease_Death	0.340364701432065	(0.32 - 0.36)	9.88131291682493e-323	0.87240329244023
bmi_points	High	TET2	Carrier	Coronary_Artery_Disease_Death	0.26893487890051	(0.10 - 0.59)	9.88131291682493e-324	0.87240329244023
bmi_points	High	TET2	Non-carrier	Coronary_Artery_Disease_Death	0.205643722283846	(0.19 - 0.23)	8.89318162514244e-323	0.87240329244023
bmi_points	Low	non_DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.966809600495812	(0.71 - 1.29)	1.48219693752374e-323	0.442453642347695
bmi_points	Low	non_DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.521447060085892	(0.48 - 0.56)	7.4109846876187e-323	0.442453642347695
bmi_points	Intermediate	non_DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.496944182273101	(0.35 - 0.68)	1.97626258336499e-323	0.442453642347695
bmi_points	Intermediate	non_DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.334317021196599	(0.31 - 0.36)	9.88131291682493e-323	0.442453642347695
bmi_points	High	non_DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.393997347219973	(0.24 - 0.60)	1.48219693752374e-323	0.442453642347695
bmi_points	High	non_DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.200882595232029	(0.18 - 0.22)	8.89318162514244e-323	0.442453642347695
diet_score	Low	ASXL1	Carrier	Coronary_Artery_Disease_Death	1.1550521138183	(0.66 - 1.88)	9.88131291682493e-324	0.61428238159874
diet_score	Low	ASXL1	Non-carrier	Coronary_Artery_Disease_Death	0.427368225413783	(0.40 - 0.46)	8.89318162514244e-323	0.61428238159874
diet_score	Intermediate	ASXL1	Carrier	Coronary_Artery_Disease_Death	0.659245961230613	(0.24 - 1.43)	4.94065645841247e-324	0.61428238159874
diet_score	Intermediate	ASXL1	Non-carrier	Coronary_Artery_Disease_Death	0.33605446892583	(0.31 - 0.37)	7.4109846876187e-323	0.61428238159874
diet_score	High	ASXL1	Carrier	Coronary_Artery_Disease_Death	0.725033218278553	(0.33 - 1.38)	9.88131291682493e-324	0.61428238159874
diet_score	High	ASXL1	Non-carrier	Coronary_Artery_Disease_Death	0.270166445473786	(0.25 - 0.29)	9.88131291682493e-323	0.61428238159874
diet_score	Low	CHIP	Carrier	Coronary_Artery_Disease_Death	0.591493015014972	(0.47 - 0.74)	2.47032822920623e-323	0.191759685196431
diet_score	Low	CHIP	Non-carrier	Coronary_Artery_Disease_Death	0.421045397429734	(0.39 - 0.45)	8.89318162514244e-323	0.191759685196431
diet_score	Intermediate	CHIP	Carrier	Coronary_Artery_Disease_Death	0.471136807076022	(0.34 - 0.63)	1.97626258336499e-323	0.191759685196431
diet_score	Intermediate	CHIP	Non-carrier	Coronary_Artery_Disease_Death	0.328582045662122	(0.30 - 0.36)	7.4109846876187e-323	0.191759685196431
diet_score	High	CHIP	Carrier	Coronary_Artery_Disease_Death	0.43218829342657	(0.33 - 0.55)	2.47032822920623e-323	0.191759685196431
diet_score	High	CHIP	Non-carrier	Coronary_Artery_Disease_Death	0.261333739644721	(0.24 - 0.28)	9.38724727098368e-323	0.191759685196431
diet_score	Low	DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.407154453606002	(0.27 - 0.58)	1.97626258336499e-323	0.209716338849887
diet_score	Low	DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.433465192041976	(0.40 - 0.46)	8.89318162514244e-323	0.209716338849887
diet_score	Intermediate	DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.521385905121504	(0.35 - 0.75)	1.48219693752374e-323	0.209716338849887
diet_score	Intermediate	DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.330954572723913	(0.30 - 0.36)	7.4109846876187e-323	0.209716338849887
diet_score	High	DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.390170744036774	(0.27 - 0.55)	1.97626258336499e-323	0.209716338849887
diet_score	High	DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.268006692384668	(0.25 - 0.29)	9.88131291682493e-323	0.209716338849887
diet_score	Low	TET2	Carrier	Coronary_Artery_Disease_Death	0.351262603948172	(0.16 - 0.67)	9.88131291682493e-324	0.916317249158786
diet_score	Low	TET2	Non-carrier	Coronary_Artery_Disease_Death	0.433585176357991	(0.40 - 0.46)	8.89318162514244e-323	0.916317249158786
diet_score	Intermediate	TET2	Carrier	Coronary_Artery_Disease_Death	0.545520378904471	(0.26 - 1.00)	9.88131291682493e-324	0.916317249158786
diet_score	Intermediate	TET2	Non-carrier	Coronary_Artery_Disease_Death	0.335417473656274	(0.31 - 0.37)	7.90505033345994e-323	0.916317249158786
diet_score	High	TET2	Carrier	Coronary_Artery_Disease_Death	0.202033288702976	(0.07 - 0.44)	9.88131291682493e-324	0.916317249158786
diet_score	High	TET2	Non-carrier	Coronary_Artery_Disease_Death	0.273523026834108	(0.25 - 0.30)	9.88131291682493e-323	0.916317249158786
diet_score	Low	non_DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.777809491048202	(0.58 - 1.03)	1.48219693752374e-323	0.482757420995911
diet_score	Low	non_DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.420804397194545	(0.39 - 0.45)	8.89318162514244e-323	0.482757420995911
diet_score	Intermediate	non_DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.511261989106615	(0.32 - 0.77)	1.48219693752374e-323	0.482757420995911
